Dataset,Baseline Accuracy,Logistic Regression,XGBoost,SVM,Deep Learning
AD,0.770992366,0.84351145,0.877862595,0.847328244,0.855
DLB,0.576086957,0.815217391,0.804347826,0.815217391,0.7283
MCI,0.890625,0.890625,0.890625,0.890625,0.8281
NPH,0.786666667,0.88,0.8,0.853333333,0.7333
VaD,0.736842105,0.815789474,0.828947368,0.723684211,0.7632
