Dataset,Baseline Accuracy,Logistic Regression,XGBoost,SVM,Deep Learning
AD,0.6694,0.852272727,0.852272727,0.8125,0.8256
DLB,0.7039,0.807692308,0.865384615,0.769230769,0.775
MCI,0.9531,0.794117647,0.823529412,0.852941176,0.9333
NPH,0.7898,0.818181818,0.857142857,0.833333333,0.8378
VaD,0.7515,0.848484848,0.818181818,0.909090909,0.8056
